"Tabelle;Spalte;Datentyp;Beschreibung_Inhalt;Join_Foreign_Key"
"Connections;FirstName;str;Vorname;"
"Connections;LastName;str;Nachname;"
"Connections;URL;str;URL des Profils;"
"Connections;EmailAddress;str;Emailadresse;"
"Connections;Company;str;Firma;"
"Connections;Position;str;Hierarchie/Titel;"
"Connections;Connected_On;str;Verbunden am Datum;"
"Connections;linkedin_key;str;persφnlicher Linkedinkey;"
"Connections;canonical_url;str;vollstδnd. Linkedinkey;"
"crm_aktivitaeten;aktivitaetid;int;Eindeutige ID;"
"crm_aktivitaeten;personid;int;PersonenID;crm_personen.personid"
"crm_aktivitaeten;personurl;str;persφnlicher Linkedinkey;connections.canonical_url"
"crm_aktivitaeten;post_url;str;Linkedin-PostURL;"
"crm_aktivitaeten;post_text;str;gesendeter Post-Text;"
"crm_aktivitaeten;ki_antwort_entwurf;str;ki-Vorschlag;"
"crm_aktivitaeten;status;str;Was ist geschehen;"
"crm_aktivitaeten;erstellt_am;datetime;Erstellungsdatum;"
"crm_aktivitaeten;aktivitaet_typ;str;Art der Aktivitδt;"
"crm_aktivitaeten;ki_antwort;str;Generierte KI Antwort;"
"crm_aktivitaeten;datum;datetime;Datum der Aktivitδt;"
"crm_firmen_aktivitaeten;activityid;int;Eindeutige ID;"
"crm_firmen_aktivitaeten;kundennumm;int;Kundennummer;stammdatenindustrie.kundennumm"
"crm_firmen_aktivitaeten;post_url;str;Linkedin-PostURL;"
"crm_firmen_aktivitaeten;post_text;str;Post-Text;"
"crm_firmen_aktivitaeten;ki_aufhaenger_entwurf;str;Entwurf Aufhδnger;"
"crm_firmen_aktivitaeten;status;str;Status;"
"crm_firmen_aktivitaeten;erstellt_am;datetime;Erstellungsdatum;"
"crm_firmen_trigger_historie;historyid;int;Eindeutige ID;"
"crm_firmen_trigger_historie;kundennumm;int;Kundennummer;stammdatenindustrie.kundennumm"
"crm_firmen_trigger_historie;event_datum;datetime;Datum des Events;"
"crm_firmen_trigger_historie;event_typ;str;Art des Triggers;"
"crm_firmen_trigger_historie;beschreibung;str;Ereignisbeschreibung;"
"crm_firmen_trigger_historie;quellen_url;str;Quellenlink;"
"crm_firmen_trigger_historie;erstellt_am;datetime;Erstellungsdatum;"
"crm_personen;import_id;int;Import ID;"
"crm_personen;kundennumm;str;Kundennummer;stammdatenindustrie.kundennumm"
"crm_personen;personid;str;PersonenID;"
"crm_personen;anrede;str;Anrede;"
"crm_personen;titel;str;Akademischer Titel;"
"crm_personen;vorname;str;Vorname;"
"crm_personen;nachname;str;Nachname;"
"crm_personen;funktionid;str;Hierarchie;ref_funktionen.funktionid"
"crm_personen;funktionsbezeichnung;str;Bezeichnung der Position;"
"crm_personen;telefon;str;Telefonnummer;"
"crm_personen;mobil;str;Mobilnummer;"
"crm_personen;emailpers;str;Persφnliche Emailadresse;"
"crm_personen;anfuegedatum;str;Datum der Hinzufόgung;"
"crm_personen;linkedin;str;persφnlicher Linkedinkey;connections.canonical_url"
"crm_personen;xing;str;Xing Profil;"
"crm_personen;update_status;str;Anlage durch wen;"
"crm_personen;validation_status;str;manuelle Prόfung;"
"crm_personen;letztes_like_datum;datetime;Datum letztes Like;"
"crm_personen;letzter_kommentar_datum;datetime;Datum letzter Kommentar;"
"crm_personen;vernetzungs_status;str;Status Vernetzung;"
"crm_personen;vernetzungs_datum;datetime;Datum Vernetzung;"
"crm_personen;geburtstag;str;Geburtsdatum;"
"crm_personen;job1_firma;str;Aktuelle Firma;"
"crm_personen;job1_titel;str;Aktueller Titel;"
"crm_personen;job1_dauer;str;Dauer Job 1;"
"crm_personen;job2_firma;str;Vorherige Firma;"
"crm_personen;job2_titel;str;Vorheriger Titel;"
"crm_personen;job2_dauer;str;Dauer Job 2;"
"crm_personen;job3_firma;str;Firma davor;"
"crm_personen;job3_titel;str;Titel davor;"
"crm_personen;job3_dauer;str;Dauer Job 3;"
"crm_personen;zuletzt_geprueft_am;datetime;Letzte Prόfung am;"
"crm_personen;mobiltelefon;str;Alternative Mobilnummer;"
"crm_personen;privat_email;str;Alternative Privat-Email;"
"crm_personen;webseite;str;Persφnliche Webseite;"
"crm_personen;anfrage_datum;datetime;Datum der Anfrage;"
"crm_personen;linkedin_key;str;LinkedIn Key;"
"crm_personen;linkedin_canonical_url;str;vollstδnd. Linkedinkey;connections.canonical_url"
"crm_personen;danke_datum;datetime;Datum der Danksagung;"
"crm_personen;naechster_touchpoint_am;datetime;Nδchster Touchpoint;"
"crm_personen;letzte_linkedin_reaktion_am;datetime;Letzte Reaktion;"
"crm_personen;Anzahl;int;Mehrfachnennung;"
"Invitations_Normalized;invitationid;int;Einladungs ID;"
"Invitations_Normalized;from_name;str;Von Name;"
"Invitations_Normalized;to_name;str;An Name;"
"Invitations_Normalized;sent_at_raw;str;Sendedatum roh;"
"Invitations_Normalized;sent_at;datetime;Sendedatum;"
"Invitations_Normalized;message;str;Nachrichtentext;"
"Invitations_Normalized;direction;str;Richtung der Einladung;"
"Invitations_Normalized;inviter_profile_url;str;Profil URL Einlader;"
"Invitations_Normalized;invitee_profile_url;str;Profil URL Eingeladener;"
"Invitations_Normalized;inviter_canonical_url;str;vollstδnd. Linkedinkey;connections.canonical_url"
"Invitations_Normalized;invitee_canonical_url;str;Linkedinkey Eingeladener;"
"Invitations_Normalized;inviter_linkedin_key;str;Key Einlader;"
"Invitations_Normalized;invitee_linkedin_key;str;Key Eingeladener;"
"Invitations_Normalized;personurl;str;vollstδnd. Linkedinkey;crm_personen.linkedin_canonical_url"
"Invitations_Normalized;person_linkedin_key;str;LinkedIn Key Person;"
"ref_funktionen;import_id;int;Import ID;"
"ref_funktionen;funktionid;str;Funktions ID;"
"ref_funktionen;ebene;str;Hierarchie;"
"ref_funktionen;funktionsbezeichnung;str;Bezeichnung Funktion;"
"stammdatenapo;kundennumm;str;Kundennummer;"
