Gruppe;Dateiname;Zuletzt geändert;Größe (KB);Ordnerpfad;Kompletter Pfad
Duplikat-Gruppe 1;Digitalisierung in Deutschland.docx;03.02.2020 10:30;15.21;./Test_Daten;C:\Digibest_Wiki_Projekt\Test_Daten\Digitalisierung in Deutschland.docx
Duplikat-Gruppe 1;Digitalisierung in Deutschland.docx;03.02.2020 10:30;15.21;./Test_Daten\ZSot;C:\Digibest_Wiki_Projekt\Test_Daten\ZSot\Digitalisierung in Deutschland.docx
;;;;;
Duplikat-Gruppe 2;Highlights_Narrativ.docx;13.01.2025 10:39;17.62;./Test_Daten;C:\Digibest_Wiki_Projekt\Test_Daten\Highlights_Narrativ.docx
Duplikat-Gruppe 2;Highlights_Narrativ.docx;13.01.2025 10:39;17.62;./Test_Daten\ZSot;C:\Digibest_Wiki_Projekt\Test_Daten\ZSot\Highlights_Narrativ.docx
;;;;;
Duplikat-Gruppe 3;Kulturelle Aneignung.docx;04.03.2026 09:47;108.05;./Test_Daten;C:\Digibest_Wiki_Projekt\Test_Daten\Kulturelle Aneignung.docx
Duplikat-Gruppe 3;Kulturelle Aneignung.docx;04.03.2026 09:47;108.05;./Test_Daten\ZSot;C:\Digibest_Wiki_Projekt\Test_Daten\ZSot\Kulturelle Aneignung.docx
;;;;;
Duplikat-Gruppe 4;Pitchdeck SSA.pdf;19.02.2026 16:52;2025.69;./Test_Daten;C:\Digibest_Wiki_Projekt\Test_Daten\Pitchdeck SSA.pdf
Duplikat-Gruppe 4;Pitchdeck SSA.pdf;19.02.2026 16:52;2025.69;./Test_Daten\ZSot;C:\Digibest_Wiki_Projekt\Test_Daten\ZSot\Pitchdeck SSA.pdf
