suchprofil;firma;domain;apollo_org_id;land;stadt;branche;mitarbeiter;beschreibung;personen_name;personen_titel;linkedin;email_status;score;klasse;positive_signale;negative_signale;empfehlung;naechster_schritt;quelle
OTC/Pharma mit Apothekenbezug;Pharma Deutschland;pharmadeutschland.de;5c282279f6512550e0313421;Deutschland;;;;;;;;nicht gezogen;35;P;"Pharma; Hersteller/Pharma-Indiz: pharma";;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
OTC/Pharma mit Apothekenbezug;MEDICE - The Health Family;medice-health-family.com;5a9e2b00a6da98d9356a6a2f;Deutschland;;;;;;;;nicht gezogen;0;U;;;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
OTC/Pharma mit Apothekenbezug;APOTHEKE ADHOC;apotheke-adhoc.de;5ed4bf7940af0c0001b1e659;Deutschland;;;;;;;;nicht gezogen;28;U;"Apotheke; Starkes Fit-Signal: apotheke";;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
OTC/Pharma mit Apothekenbezug;Dr. Pfleger Arzneimittel GmbH;dr-pfleger.de;556949887369642161d12900;Deutschland;;;;;;;;nicht gezogen;35;P;"Arzneimittel; Hersteller/Pharma-Indiz: arzneimittel";;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
OTC/Pharma mit Apothekenbezug;Fresenius Kabi Deutschland;;5c24d18af6512548d67644cd;Deutschland;;;;;;;;nicht gezogen;0;U;;;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
OTC/Pharma mit Apothekenbezug;ADG Apotheken-Dienstleistungsgesellschaft mbH;adg.de;55693986736964216da41000;Deutschland;;;;;;;;nicht gezogen;56;C;"Apotheke; Apotheken; Starkes Fit-Signal: apotheke; Starkes Fit-Signal: apotheken";;prüfen;Apotheken-/Direktvertriebssignale auf Website prüfen;Apollo/API
OTC/Pharma mit Apothekenbezug;CC Pharma GmbH;cc-pharma.de;556da8de73696412436e6801;Deutschland;;;;;;;;nicht gezogen;35;P;"Pharma; Hersteller/Pharma-Indiz: pharma";;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
OTC/Pharma mit Apothekenbezug;Klinge Pharma;klinge-pharma.com;55f7b065f3e5bb3880002175;Deutschland;;;;;;;;nicht gezogen;35;P;"Pharma; Hersteller/Pharma-Indiz: pharma";;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
OTC/Pharma mit Apothekenbezug;Novartis Deutschland;;6049e81ad71ee50001ce501e;Deutschland;;;;;;;;nicht gezogen;0;U;;;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
OTC/Pharma mit Apothekenbezug;Marvecs GmbH;marvecs.de;556dca3d7369641276869301;Deutschland;;;;;;;;nicht gezogen;0;U;;;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
OTC/Pharma mit Apothekenbezug;APOGEPHA Arzneimittel GmbH;apogepha.de;61f587651e933700a40b70fe;Deutschland;;;;;;;;nicht gezogen;35;P;"Arzneimittel; Hersteller/Pharma-Indiz: arzneimittel";;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
OTC/Pharma mit Apothekenbezug;Sandoz in Deutschland;sandoz.de;664f2ef43601bc01ebaee2bf;Deutschland;;;;;;;;nicht gezogen;0;U;;;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
OTC/Pharma mit Apothekenbezug;Denk Pharma;denkpharma.com;5d36cfb4a3ae612a10064d78;Deutschland;;;;;;;;nicht gezogen;35;P;"Pharma; Hersteller/Pharma-Indiz: pharma";;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
OTC/Pharma mit Apothekenbezug;betapharm Arzneimittel GmbH;betapharm.de;54a1392e69702d2fa6381b00;Deutschland;;;;;;;;nicht gezogen;35;P;"Arzneimittel; Hersteller/Pharma-Indiz: arzneimittel";;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
OTC/Pharma mit Apothekenbezug;PharmaSGP Holding SE;pharmasgp.com;57c4d17ea6da986abef6ddcd;Deutschland;;;;;;;;nicht gezogen;35;P;"Pharma; Hersteller/Pharma-Indiz: pharma";;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
OTC/Pharma mit Apothekenbezug;DFE Pharma;dfepharma.com;54a1396f69702d04865b3f00;Deutschland;;;;;;;;nicht gezogen;35;P;"Pharma; Hersteller/Pharma-Indiz: pharma";;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
OTC/Pharma mit Apothekenbezug;MSK Pharma Group;msk-pharmalogistic.de;55e9252df3e5bb4977000001;Deutschland;;;;;;;;nicht gezogen;35;P;"Pharma; Hersteller/Pharma-Indiz: pharma";;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
OTC/Pharma mit Apothekenbezug;Weber & Weber GmbH, Biologische Arzneimittel;weber-weber.de;61ec270115c3430001546cb3;Deutschland;;;;;;;;nicht gezogen;35;P;"Arzneimittel; Hersteller/Pharma-Indiz: arzneimittel";;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
OTC/Pharma mit Apothekenbezug;Mauve Mailorder Software GmbH & Co KG.;mauve.de;5a9cc2daa6da98d938b72bf3;Deutschland;;;;;;;;nicht gezogen;0;U;;;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
OTC/Pharma mit Apothekenbezug;Pharma Bavaria International GmbH;pharma-bavaria.com;556d30cd7369641217d3aa00;Deutschland;;;;;;;;nicht gezogen;35;P;"Pharma; Hersteller/Pharma-Indiz: pharma";;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
OTC/Pharma mit Apothekenbezug;MIP Pharma Group;mip-pharma.de;6049e4eb59dfd800a532ccc3;Deutschland;;;;;;;;nicht gezogen;35;P;"Pharma; Hersteller/Pharma-Indiz: pharma";;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
OTC/Pharma mit Apothekenbezug;awinta GmbH;awinta.de;55eeff2bf3e5bb7132001212;Deutschland;;;;;;;;nicht gezogen;0;U;;;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
OTC/Pharma mit Apothekenbezug;easyApotheke (Holding) AG;easyapotheke.ag;55f74a6bf3e5bb16dd000caa;Deutschland;;;;;;;;nicht gezogen;28;U;"Apotheke; Starkes Fit-Signal: apotheke";;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
OTC/Pharma mit Apothekenbezug;VIVATIS Pharma GmbH;;5e571fe334261300014e3e57;Deutschland;;;;;;;;nicht gezogen;35;P;"Pharma; Hersteller/Pharma-Indiz: pharma";;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
OTC/Pharma mit Apothekenbezug;Diapharm GmbH & Co. KG;diapharm.com;55923eb973696418d70ef000;Deutschland;;;;;;;;nicht gezogen;0;U;;;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
OTC/Pharma mit Apothekenbezug;Careforce GmbH;careforce.de;5f4313e0ec0ce70001ec7665;Deutschland;;;;;;;;nicht gezogen;0;U;;;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
OTC/Pharma mit Apothekenbezug;Stern Apotheke Kistenpfennig;stern-apotheke.de;60af2dc78506ef0001d228dc;Deutschland;;;;;;;;nicht gezogen;28;U;"Apotheke; Starkes Fit-Signal: apotheke";;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
OTC/Pharma mit Apothekenbezug;INOPHA GmbH;inopha.de;5a9e3b16a6da98d966441762;Deutschland;;;;;;;;nicht gezogen;0;U;;;unklar;"Apollo-Daten unvollständig; Website prüfen, bevor ausgeschlossen wird";Apollo/API
OTC/Pharma mit Apothekenbezug;Pluspunkt Apotheken;pluspunkt-apotheke.de;5fcaa0d09c8b7700014a7550;Deutschland;;;;;;;;nicht gezogen;56;C;"Apotheke; Apotheken; Starkes Fit-Signal: apotheke; Starkes Fit-Signal: apotheken";;prüfen;Apotheken-/Direktvertriebssignale auf Website prüfen;Apollo/API
OTC/Pharma mit Apothekenbezug;Bundesverband der Pharmazeutischen Industrie;bpi.de;5e165ce7dbc70b00d6c67a62;Deutschland;;;;;;;;nicht gezogen;35;P;"Pharma; Hersteller/Pharma-Indiz: pharma";;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
OTC/Pharma mit Apothekenbezug;Verband Forschender Arzneimittelhersteller e.V. (VFA);vfa.de;5e567a8f5749890001ac894b;Deutschland;;;;;;;;nicht gezogen;35;P;"Arzneimittel; Hersteller/Pharma-Indiz: arzneimittel; Hersteller/Pharma-Indiz: hersteller";;Prüfkandidat;"Website manuell/automatisch prüfen; nicht ausschließen";Apollo/API
OTC/Pharma mit Apothekenbezug;Apotheken;herz-apotheke-zittau.de;5f4920982894b900012ebf1a;Deutschland;;;;;;;;nicht gezogen;56;C;"Apotheke; Apotheken; Starkes Fit-Signal: apotheke; Starkes Fit-Signal: apotheken";;prüfen;Apotheken-/Direktvertriebssignale auf Website prüfen;Apollo/API
