Tabelle;Spalte;Datentyp;Info_Kategorie;Info_Typ;Beschreibung;Such_Tag;Join_FK;NL_Hinweis
stammdatenindustrie;kundennumm;str;Identifikation;Schluessel;"Primaerschluessel der Firma; verbindet Personen, Trigger, Whitelist, Datei_Index";[PK];crm_personen.kundennumm;"JOIN-Hub; bei Vergleich mit int-Spalten CStr() nutzen"
stammdatenindustrie;bganr;str;Identifikation;Kennzeichen;Betriebsstaettennummer (selten befuellt);[LEER];;"In der Praxis meist leer; nicht fuer Suche verwenden"
stammdatenindustrie;akquiseklasse;int;Marktsegment;Kennzahl;Akquise-/Bearbeitungsklasse der Firma (1=hoechste Prioritaet bis 4);[FILTER];;"Exakter Zahlenvergleich: akquiseklasse = 3; kein LIKE"
stammdatenindustrie;funktion;str;Marktsegment;Kategorietext;Marktrolle der Firma (Kurzform), z.B. Vertrieb, Hersteller – NICHT Personen-Hierarchie;[SUCH];;"NICHT mit ref_funktionen verwechseln; = 'Hersteller'"
stammdatenindustrie;efunktion;str;Marktsegment;Freitext;Ausfuehrliche Beschreibung der Marktrolle / Marktfunktion der Firma;[SUCH];;"Freitext; LIKE mit OR-Synonymen"
stammdatenindustrie;Marktzielgruppe;str;Marktsegment;Kategorietext;Angebotsrichtung / Marktorientierung (Hauptsegment, z.B. Apotheken, Anbieter IS);[SUCH];;"Apotheken-Fokus: LIKE '%Apothek%'; bevorzugt gegenueber apotheken_fokus"
stammdatenindustrie;emarktzielgruppe;str;Marktsegment;Kategorietext;Detail-Marktorientierung (z.B. B2B, Apotheken, Endverbraucher);[SUCH];;Apotheken-Fokus zusaetzlich pruefen: LIKE '%Apothek%'
stammdatenindustrie;produktschwerpunkt;str;Sortiment_Produkte;Freitext;Welche Produktbereiche die Firma schwerpunktmaessig abdeckt;[SUCH];;Textsuche LIKE '%Diabetes%' o.ae.
stammdatenindustrie;Kategorie;str;Marktsegment;Kategorietext;Angebotskategorie / Sortimentskategorie (Kurzform);[SUCH];;LIKE '%Allergie%' etc.
stammdatenindustrie;ekategorie;str;Marktsegment;Freitext;Detailbeschreibung der Angebotskategorie;[SUCH];;Freitext-Ergaenzung zu Kategorie
stammdatenindustrie;anbieternummer;int;Identifikation;FK;"ABDA-Anbieternummer; Verknuepfung zum Produktkatalog";[FK];abdaartikel.anbieter_nr;JOIN abdaartikel ON anbieter_nr = anbieternummer fuer Artikel/Produkte
stammdatenindustrie;nama;str;Identifikation;Kategorietext;Erstteil Firmenname / Anbietername (Hauptsuchfeld fuer Firmen);[SUCH];;Suche ueber nama & nameb verketten – nicht nur nama
stammdatenindustrie;nameb;str;Identifikation;Kategorietext;Zweitteil Firmenname / Ergaenzung zum Anbieternamen;[SUCH];;Mit nama verketten: IIf(nama,'') & IIf(nameb,'') LIKE '%Suchbegriff%'
stammdatenindustrie;kurzname;str;Identifikation;Kategorietext;Kurzbezeichnung der Firma;[SUCH];;Alternative zu nama fuer Abkuerzungen
stammdatenindustrie;LKZ;str;Adresse;Kategorietext;Laenderkennzeichen (z.B. DE, AT, CH);[FILTER];;Laenderfilter: LKZ = 'DE' oder LIKE 'D%'
stammdatenindustrie;plz;str;Adresse;Kategorietext;Postleitzahl des Firmensitzes;[FILTER];;Exakt oder Prefix: plz LIKE '40%'
stammdatenindustrie;ort;str;Adresse;Kategorietext;Ort / Stadt des Firmensitzes;[SUCH];;LIKE '%Koeln%' OR LIKE '%Cologne%'
stammdatenindustrie;strasse;str;Adresse;Kategorietext;Strassenname des Firmensitzes;[AUSGABE];;"Selten Suchkriterium; eher Ausgabefeld"
stammdatenindustrie;hausnr;str;Adresse;Kategorietext;Hausnummer;[AUSGABE];;Ausgabefeld zur Adresse
stammdatenindustrie;telefon;str;Kontakt;Kategorietext;Zentrale Telefonnummer der Firma;[AUSGABE];;Ausgabe bei Adress-/Kontaktfragen
stammdatenindustrie;fax;str;Kontakt;Kategorietext;Faxnummer;[LEER];;Meist unbefuellt
stammdatenindustrie;internetadresse;str;Kontakt;URL;Website / Homepage der Firma;[AUSGABE];;Ausgabe bei 'Website von Firma X'
stammdatenindustrie;email;str;Kontakt;Kategorietext;Allgemeine E-Mail-Adresse der Firma;[AUSGABE];;"Ausgabe; selten Suchkriterium"
stammdatenindustrie;dategurl;str;Kontakt;URL;Dateg-Portal-URL;[LEER];;"Spezial-URL; selten relevant"
stammdatenindustrie;logourl;str;Kontakt;URL;URL zum Firmenlogo;[LEER];;Nur fuer Darstellung, nicht fuer Suche
stammdatenindustrie;LinkedinURL;str;LinkedIn;URL;LinkedIn-URL der Firma;[AUSGABE];;Einziges Firmen-LinkedIn-Feld (linkedin_url entfernt, war Duplikat)
stammdatenindustrie;linkedin_url_status;str;LinkedIn;Status;Pruefstatus der LinkedIn-URL;[INTERN];;Internes Qualitaetsfeld
stammdatenindustrie;benutzername;str;Metadaten;Kategorietext;Benutzername / Bearbeiterzuordnung;[INTERN];;Internes Feld
stammdatenindustrie;iban;str;Kontakt;Kategorietext;IBAN Bankverbindung;[LEER];;"Selten befuellt; Datenschutz beachten"
stammdatenindustrie;bic;str;Kontakt;Kategorietext;BIC Bankverbindung;[LEER];;Selten befuellt
stammdatenindustrie;datum;datetime;Metadaten;Datum;Anlagedatum des Datensatzes;[INTERN];;Metadatum, nicht fuer Nutzerfragen
stammdatenindustrie;schliessung;datetime;Firmenprofil;Datum;Schliessungsdatum der Firma (falls geschlossen);[FILTER];;"IS NULL = aktiv; IS NOT NULL = geschlossen"
stammdatenindustrie;gruendung;float;Firmenprofil;Kennzahl;Gruendungsjahr;[AUSGABE];;Numerischer Vergleich moeglich
stammdatenindustrie;kooperation;str;Firmenprofil;Kategorietext;Kooperationszugehoerigkeit;[SUCH];;LIKE-Suche
stammdatenindustrie;gruppe;str;Firmenprofil;Kategorietext;Unternehmensgruppe / Konzernzugehoerigkeit;[SUCH];;LIKE '%Bayer%' fuer Konzernfragen
stammdatenindustrie;filiale;str;Firmenprofil;Kategorietext;Filial-/Standortkennzeichen wenn abweichend von kundennumm;[LEER];;Selten genutzt
stammdatenindustrie;firmentyp;str;Firmenprofil;Kategorietext;Typisierung: Konzern, Familienunternehmen etc.;[SUCH];;LIKE-Suche
stammdatenindustrie;groessenklasse;str;Firmenprofil;Kategorietext;Standardisierte Groessenklasse des Unternehmens;[FILTER];;Kategorischer Filter
stammdatenindustrie;umsatzklasse;str;Firmenprofil;Kategorietext;Umsatzklasse / Groessen nach Umsatz;[FILTER];;Kategorischer Filter
stammdatenindustrie;mitarbeiterzahl;str;Firmenprofil;Kategorietext;Mitarbeiterzahl (oft als Textband);[AUSGABE];;Ausgabe bei Groessenfragen
stammdatenindustrie;anzahlabda;float;Kennzahlen;Kennzahl;Anzahl ABDA-gelisteter Artikel gesamt;[FILTER];;Numerischer Vergleich / ORDER BY fuer Rankings
stammdatenindustrie;anzahlrx;float;Kennzahlen;Kennzahl;Anzahl verschreibungspflichtiger (Rx) ABDA-Artikel;[FILTER];;Rx-Fokus: anzahlrx > 0
stammdatenindustrie;anzahlnonrx;float;Kennzahlen;Kennzahl;Anzahl freiverkaeuflicher (OTC/Non-Rx) ABDA-Artikel;[FILTER];;OTC-Fokus: anzahlnonrx > 0
stammdatenindustrie;umsatzpotenzialmio;float;Kennzahlen;Kennzahl;Geschaetztes Umsatzpotenzial in Millionen EUR;[FILTER];;ORDER BY umsatzpotenzialmio DESC fuer Top-Firmen
stammdatenindustrie;wws;str;Firmenprofil;Kategorietext;Warenwirtschaftssystem;[LEER];;Selten relevant fuer Standardfragen
stammdatenindustrie;gl_produkt1;str;Sortiment_Produkte;Freitext;Wichtigstes Produkt 1 (Gelbe-Liste-/GL-Herkunft);[SUCH];;Top-Produkt-Suche: LIKE
